SampleID	Sample1	Location	Treatment	Timing	Treated	depth_below_plot_cm	depth_below_ground_cm	Replicate	C	N	Clay	Silt	Sand	Notes	NO3	NO2	DOC	CaCO3	Ca	Cl	K	Mg	Mn	Na	pH	EC	Dissolved_solids	SO4	Fe	As	Pb	Cd	Cr	Zn
180810-KTYA-P2-AFTER-080-1	180810-KTYA-P2-AFTER-080	KTYA	WC	After	TRUE	80	180	1	0.06	0.01	2.33	3.97	90.83																					
180810-KTYA-P2-AFTER-080-2	180810-KTYA-P2-AFTER-080	KTYA	WC	After	TRUE	80	180	2	0.06	0.01	2.33	3.97	90.83																					
180810-KTYA-P2-AFTER-080-3	180810-KTYA-P2-AFTER-080	KTYA	WC	After	TRUE	80	180	3	0.06	0.01	2.33	3.97	90.83																					
180829-KTYA-P3-AFTER-010-1	180829-KTYA-P3-AFTER-010	KTYA	MX	After	TRUE	10	110	1	0.13	0.02	4.93	5.87	88.12		7.6	0	3.4	193	49	81	12.1	31	0	75	7.4	886	503	98	0	1.1	0	0	2.8	68
180829-KTYA-P3-AFTER-010-2	180829-KTYA-P3-AFTER-010	KTYA	MX	After	TRUE	10	110	2	0.13	0.02	4.93	5.87	88.12		7.6	0	3.4	193	49	81	12.1	31	0	75	7.4	886	503	98	0	1.1	0	0	2.8	68
180829-KTYA-P3-AFTER-010-3	180829-KTYA-P3-AFTER-010	KTYA	MX	After	TRUE	10	110	3	0.13	0.02	4.93	5.87	88.12		7.6	0	3.4	193	49	81	12.1	31	0	75	7.4	886	503	98	0	1.1	0	0	2.8	68
180829-KTYA-P3-AFTER-030-1	180829-KTYA-P3-AFTER-030	KTYA	MX	After	TRUE	30	130	1	0.1	0.01	4.95	6.2	85.54		7.3	0.1	3.9	190	50	81	11.8	32	101	80	7.4	864	511	98	0	0	0	0	2	0
180829-KTYA-P3-AFTER-030-2	180829-KTYA-P3-AFTER-030	KTYA	MX	After	TRUE	30	130	2	0.1	0.01	4.95	6.2	85.54		7.3	0.1	3.9	190	50	81	11.8	32	101	80	7.4	864	511	98	0	0	0	0	2	0
180829-KTYA-P3-AFTER-030-3	180829-KTYA-P3-AFTER-030	KTYA	MX	After	TRUE	30	130	3	0.1	0.01	4.95	6.2	85.54		7.3	0.1	3.9	190	50	81	11.8	32	101	80	7.4	864	511	98	0	0	0	0	2	0
180829-KTYA-P3-AFTER-060-1	180829-KTYA-P3-AFTER-060	KTYA	MX	After	TRUE	60	160	1	0.07	0.01	3.58	5.59	86.39		7.3	0.1	4.2	192	49	81	11	33	287	78	7.4	863	537	98	0	1	0	0	1.8	0
180829-KTYA-P3-AFTER-060-2	180829-KTYA-P3-AFTER-060	KTYA	MX	After	TRUE	60	160	2	0.07	0.01	3.58	5.59	86.39		7.3	0.1	4.2	192	49	81	11	33	287	78	7.4	863	537	98	0	1	0	0	1.8	0
180829-KTYA-P3-AFTER-060-3	180829-KTYA-P3-AFTER-060	KTYA	MX	After	TRUE	60	160	3	0.07	0.01	3.58	5.59	86.39		7.3	0.1	4.2	192	49	81	11	33	287	78	7.4	863	537	98	0	1	0	0	1.8	0
180829-KTYA-P3-AFTER-080-1	180829-KTYA-P3-AFTER-080	KTYA	MX	After	TRUE	80	180	1	0.07	0.01	4.03	5.9	93.7																					
